a1,a2,a3,a4,a5,a6,"Num","x1","x2","x3","x4","x5","x1Name","x2Name","x3Name","x4Name","x5Name","account","subArea","Population(K)","GNI(M$)"
43249,宮城県,川崎町,7938,4,3249,,,,,,,,,,,,,,,
43419,宮城県,丸森町,11571,4,3419,,,,,,,,,,,,,,,
43613,宮城県,亘理町,32825,4,3613,,,,,,,,,,,,,,,
43621,宮城県,山元町,11427,4,3621,,,,,,,,,,,,,,,
44016,宮城県,松島町,12885,4,4016,,,,,,,,,,,,,,,
44041,宮城県,七ヶ浜町,17553,4,4041,,,,,,,,,,,,,,,
44067,宮城県,利府町,35863,4,4067,,,,,,,,,,,,,,,
44211,宮城県,大和町,27861,4,4211,,,,,,,,,,,,,,,
44229,宮城県,大郷町,7480,4,4229,,,,,,,,,,,,,,,
44245,宮城県,大衡村,5539,4,4245,,,,,,,,,,,,,,,
44440,宮城県,色麻町,6103,4,4440,,,,,,,,,,,,,,,
44458,宮城県,加美町,20970,4,4458,,,,,,,,,,,,,,,
45012,宮城県,涌谷町,14249,4,5012,,,,,,,,,,,,,,,
45055,宮城県,美里町,22826,4,5055,,,,,,,,,,,,,,,
45811,宮城県,女川町,5810,4,5811,,,,,,,,,,,,,,,
46060,宮城県,南三陸町,11498,4,6060,,,,,,,,,,,,,,,
52019,秋田県,,907593,5,,,,,,,,,,,,,,,,
52019,秋田県,秋田市,293729,5,2019,,,,,,,,,,,,,,,
52027,秋田県,能代市,47247,5,2027,,,,,,,,,,,,,,,
52035,秋田県,横手市,80777,5,2035,,,,,,,,,,,,,,,
52043,秋田県,大館市,65492,5,2043,,,,,,,,,,,,,,,
52060,秋田県,男鹿市,23355,5,2060,,,,,,,,,,,,,,,
52078,秋田県,湯沢市,39484,5,2078,,,,,,,,,,,,,,,
52094,秋田県,鹿角市,27069,5,2094,,,,,,,,,,,,,,,
52108,秋田県,由利本荘市,70409,5,2108,,,,,,,,,,,,,,,
52116,秋田県,潟上市,31271,5,2116,,,,,,,,,,,,,,,
52124,秋田県,大仙市,73794,5,2124,,,,,,,,,,,,,,,
52132,秋田県,北秋田市,27834,5,2132,,,,,,,,,,,,,,,
52141,秋田県,にかほ市,22075,5,2141,,,,,,,,,,,,,,,
52159,秋田県,仙北市,22859,5,2159,,,,,,,,,,,,,,,
53031,秋田県,小坂町,4421,5,3031,,,,,,,,,,,,,,,
53279,秋田県,上小阿仁村,1869,5,3279,,,,,,,,,,,,,,,
53465,秋田県,藤里町,2746,5,3465,,,,,,,,,,,,,,,
53481,秋田県,三種町,14170,5,3481,,,,,,,,,,,,,,,
53490,秋田県,八峰町,6086,5,3490,,,,,,,,,,,,,,,
53619,秋田県,五城目町,7814,5,3619,,,,,,,,,,,,,,,
53635,秋田県,八郎潟町,5176,5,3635,,,,,,,,,,,,,,,
53660,秋田県,井川町,4157,5,3660,,,,,,,,,,,,,,,
53686,秋田県,大潟村,2945,5,3686,,,,,,,,,,,,,,,
54348,秋田県,美郷町,17444,5,4348,,,,,,,,,,,,,,,
54631,秋田県,羽後町,13036,5,4631,,,,,,,,,,,,,,,
54640,秋田県,東成瀬村,2334,5,4640,,,,,,,,,,,,,,,
62014,山形県,,1012355,6,,,,,,,,,,,,,,,,
62014,山形県,山形市,236164,6,2014,,,,,,,,,,,,,,,
62022,山形県,米沢市,74629,6,2022,,,,,,,,,,,,,,,
62031,山形県,鶴岡市,116731,6,2031,,,,,,,,,,,,,,,
62049,山形県,酒田市,93924,6,2049,,,,,,,,,,,,,,,
62057,山形県,新庄市,32362,6,2057,,,,,,,,,,,,,,,
62065,山形県,寒河江市,39417,6,2065,,,,,,,,,,,,,,,
62073,山形県,上山市,27584,6,2073,,,,,,,,,,,,,,,
62081,山形県,村山市,21299,6,2081,,,,,,,,,,,,,,,
62090,山形県,長井市,24420,6,2090,,,,,,,,,,,,,,,
62103,山形県,天童市,60204,6,2103,,,,,,,,,,,,,,,
62111,山形県,東根市,47631,6,2111,,,,,,,,,,,,,,,
62120,山形県,尾花沢市,13529,6,2120,,,,,,,,,,,,,,,
62138,山形県,南陽市,29070,6,2138,,,,,,,,,,,,,,,
63011,山形県,山辺町,13344,6,3011,,,,,,,,,,,,,,,
63029,山形県,中山町,10455,6,3029,,,,,,,,,,,,,,,
63215,山形県,河北町,16809,6,3215,,,,,,,,,,,,,,,
63223,山形県,西川町,4536,6,3223,,,,,,,,,,,,,,,
63231,山形県,朝日町,5782,6,3231,,,,,,,,,,,,,,,
63240,山形県,大江町,7062,6,3240,,,,,,,,,,,,,,,
63410,山形県,大石田町,5979,6,3410,,,,,,,,,,,,,,,
63614,山形県,金山町,4691,6,3614,,,,,,,,,,,,,,,
63622,山形県,最上町,7358,6,3622,,,,,,,,,,,,,,,
63631,山形県,舟形町,4662,6,3631,,,,,,,,,,,,,,,
63649,山形県,真室川町,6481,6,3649,,,,,,,,,,,,,,,
63657,山形県,大蔵村,2760,6,3657,,,,,,,,,,,,,,,
63665,山形県,鮭川村,3659,6,3665,,,,,,,,,,,,,,,
63673,山形県,戸沢村,3850,6,3673,,,,,,,,,,,,,,,
63819,山形県,高畠町,21306,6,3819,,,,,,,,,,,,,,,
63827,山形県,川西町,13385,6,3827,,,,,,,,,,,,,,,
64017,山形県,小国町,6537,6,4017,,,,,,,,,,,,,,,
64025,山形県,白鷹町,12222,6,4025,,,,,,,,,,,,,,,
64033,山形県,飯豊町,6203,6,4033,,,,,,,,,,,,,,,
64262,山形県,三川町,7009,6,4262,,,,,,,,,,,,,,,
64289,山形県,庄内町,19144,6,4289,,,,,,,,,,,,,,,
64611,山形県,遊佐町,12157,6,4611,,,,,,,,,,,,,,,
72010,福島県,,1771314,7,,,,,,,,,,,,,,,,
72010,福島県,福島市,264652,7,2010,,,,,,,,,,,,,,,
72028,福島県,会津若松市,110841,7,2028,,,,,,,,,,,,,,,
72036,福島県,郡山市,312433,7,2036,,,,,,,,,,,,,,,
72044,福島県,いわき市,303171,7,2044,,,,,,,,,,,,,,,
72052,福島県,白河市,57085,7,2052,,,,,,,,,,,,,,,
72079,福島県,須賀川市,72918,7,2079,,,,,,,,,,,,,,,
72087,福島県,喜多方市,43519,7,2087,,,,,,,,,,,,,,,
72095,福島県,相馬市,32261,7,2095,,,,,,,,,,,,,,,
72109,福島県,二本松市,50358,7,2109,,,,,,,,,,,,,,,
72117,福島県,田村市,32982,7,2117,,,,,,,,,,,,,,,
72125,福島県,南相馬市,55774,7,2125,,,,,,,,,,,,,,,
72133,福島県,伊達市,55997,7,2133,,,,,,,,,,,,,,,
72141,福島県,本宮市,29712,7,2141,,,,,,,,,,,,,,,
73016,福島県,桑折町,10951,7,3016,,,,,,,,,,,,,,,
73032,福島県,国見町,8095,7,3032,,,,,,,,,,,,,,,
73083,福島県,川俣町,11412,7,3083,,,,,,,,,,,,,,,
73229,福島県,大玉村,8817,7,3229,,,,,,,,,,,,,,,
73423,福島県,鏡石町,12356,7,3423,,,,,,,,,,,,,,,
73440,福島県,天栄村,5171,7,3440,,,,,,,,,,,,,,,
73628,福島県,下郷町,4792,7,3628,,,,,,,,,,,,,,,
73644,福島県,檜枝岐村,484,7,3644,,,,,,,,,,,,,,,
73679,福島県,只見町,3690,7,3679,,,,,,,,,,,,,,,
